function,taylor_expansion
-x**2 - 3*x + sqrt(x + 1),-5*x**4/128 + x**3/16 - 9*x**2/8 - 5*x/2 + 1
exp(x) - 2*cos(x)**2 - exp(-x),-2*x**4/3 + x**3/3 + 2*x**2 + 2*x - 2
-2*log(x + 1) + cos(x)/3 + sinh(x),37*x**4/72 - x**3/2 + 5*x**2/6 - x + 1/3
3*exp(x) + cos(x)**2 + 3/(x + 1),83*x**4/24 - 5*x**3/2 + 7*x**2/2 + 7
x**2/3 - 3*sin(x)**2 - 3*sin(x),x**4 + x**3/2 - 8*x**2/3 - 3*x
-3*cos(x) + tan(x)/2 + 3*sinh(x),-x**4/8 + 2*x**3/3 + 3*x**2/2 + 7*x/2 - 3
log(x + 1)/2 + 3*tan(x) - 3*cosh(x),-x**4/4 + 7*x**3/6 - 7*x**2/4 + 7*x/2 - 3
-x - 2*cos(2*x),-4*x**4/3 + 4*x**2 - x - 2
3*x*sin(x) + 2*exp(-x) + 1/(2*(x + 1)),x**4/12 - 5*x**3/6 + 9*x**2/2 - 5*x/2 + 5/2
-3*x**3 + cos(x)**2/3 - 2*sinh(x),x**4/9 - 10*x**3/3 - x**2/3 - 2*x + 1/3
sqrt(x + 1) - cos(x)**2,-143*x**4/384 + x**3/16 + 7*x**2/8 + x/2
2*x - 2*cosh(x),-x**4/12 - x**2 + 2*x - 2
-x**2 - 2*log(x + 1) + tanh(x),x**4/2 - x**3 - x
log(x + 1)/3 + cos(x),-x**4/24 + x**3/9 - 2*x**2/3 + x/3 + 1
-x**2 + sqrt(x + 1) + sin(2*x) + tan(x)/3,-5*x**4/128 - 167*x**3/144 - 9*x**2/8 + 17*x/6 + 1
x*sin(x)/3 + sqrt(x + 1)/3 + exp(x),-31*x**4/1152 + 3*x**3/16 + 19*x**2/24 + 7*x/6 + 4/3
3*x**3 + sin(x)/2 + cos(x)**2/2,x**4/6 + 35*x**3/12 - x**2/2 + x/2 + 1/2
-2*x + 3*exp(x) - 3*sin(x)**2 - 2*sin(2*x),9*x**4/8 + 19*x**3/6 - 3*x**2/2 - 3*x + 3
-3*exp(x) + cos(2*x) - 2*tanh(x),13*x**4/24 + x**3/6 - 7*x**2/2 - 5*x - 2
2*x**2 - 3*x - exp(x) + sin(x),-x**4/24 - x**3/3 + 3*x**2/2 - 3*x - 1
x*cos(x)/2 + 3*exp(x) + 3*sin(x)**2 - 3*cos(x),-x**4 + x**3/4 + 6*x**2 + 7*x/2
2*sqrt(x + 1) + sin(x)**2/2 - 3*cos(x)**2,-239*x**4/192 + x**3/8 + 13*x**2/4 + x - 1
x**2 + x*cos(x) + 3/(x + 1),3*x**4 - 7*x**3/2 + 4*x**2 - 2*x + 3
-3*x**3 + x*sin(x) + log(x + 1)/2 - sinh(x),-7*x**4/24 - 3*x**3 + 3*x**2/4 - x/2
-3*x + 3*sqrt(x + 1) - sinh(x),-15*x**4/128 + x**3/48 - 3*x**2/8 - 5*x/2 + 3
-3*x*sin(x) - sin(2*x) + tan(x),x**4/2 + 5*x**3/3 - 3*x**2 - x
-2*exp(x) + 3*tanh(x),-x**4/12 - 4*x**3/3 - x**2 + x - 2
3*sin(x) + 3*sinh(x) - 2*cosh(x) - exp(-x),-x**4/8 + x**3/6 - 3*x**2/2 + 7*x - 3
-x**2 - 2*x*cos(x) + tanh(x)/3,8*x**3/9 - x**2 - 5*x/3
-x**2 - x*sin(x) + exp(x) + 3*cos(2*x),53*x**4/24 + x**3/6 - 15*x**2/2 + x + 4
cos(x) + 3*exp(-x),x**4/6 - x**3/2 + x**2 - 3*x + 4
3*cos(x)**2 + cos(2*x)/2 - 3*tanh(x),4*x**4/3 + x**3 - 4*x**2 - 3*x + 7/2
-cos(2*x) + 3*cosh(x),-13*x**4/24 + 7*x**2/2 + 2
-x - 1/(x + 1),-x**4 + x**3 - x**2 - 1
-x**2 + x*cos(x)/2 - 2*cos(x) + 1/(2*(x + 1)),5*x**4/12 - 3*x**3/4 + x**2/2 - 3/2
x**3/3 - 2*x**2 - 2*exp(-x),-x**4/12 + 2*x**3/3 - 3*x**2 + 2*x - 2
sqrt(x + 1)/3 + 3*exp(x) - 3*cos(x)**2 - 2*cos(2*x),-853*x**4/384 + 25*x**3/48 + 203*x**2/24 + 19*x/6 - 5/3
-sin(x)**2 + 2*tan(x) - 2/(x + 1),-5*x**4/3 + 8*x**3/3 - 3*x**2 + 4*x - 2
-exp(x) + cos(2*x)/2 + 3*sinh(x),7*x**4/24 + x**3/3 - 3*x**2/2 + 2*x - 1/2
3*x*sin(x) + sqrt(x + 1) + sin(x) - tanh(x),-69*x**4/128 + 11*x**3/48 + 23*x**2/8 + x/2 + 1
x**3 + x**2/3,x**3 + x**2/3
-x + 2*sin(2*x) + cosh(x)/2,x**4/48 - 8*x**3/3 + x**2/4 + 3*x + 1/2
exp(x)/3 - sin(2*x) + tan(x)/2,x**4/72 + 14*x**3/9 + x**2/6 - 7*x/6 + 1/3
-x**3 - 3*sqrt(x + 1) - 3*sin(2*x),15*x**4/128 + 45*x**3/16 + 3*x**2/8 - 15*x/2 - 3
x**3/2 + cosh(x) - 1/(x + 1),-23*x**4/24 + 3*x**3/2 - x**2/2 + x
2*log(x + 1) + sinh(x)/3 + 3*tanh(x),-x**4/2 - 5*x**3/18 - x**2 + 16*x/3
-sqrt(x + 1) + 2*cos(x) + 3*cos(2*x),815*x**4/384 - x**3/16 - 55*x**2/8 - x/2 + 4
x*sin(x)/2 + 2*x + 3*cos(x) + exp(-x)/3,x**4/18 - x**3/18 - 5*x**2/6 + 5*x/3 + 10/3
3*x*cos(x) + cosh(x),x**4/24 - 3*x**3/2 + x**2/2 + 3*x + 1
x**3 + x**2/3 + 3*sqrt(x + 1) + 3*tanh(x),-15*x**4/128 + 3*x**3/16 - x**2/24 + 9*x/2 + 3
-3*x*cos(x) + sin(2*x)/2 + cos(2*x)/3 + exp(-x),19*x**4/72 + 2*x**3/3 - x**2/6 - 3*x + 4/3
x*sin(x) + 2*exp(x) + sin(x) + 2*cos(2*x),5*x**4/4 + x**3/6 - 2*x**2 + 3*x + 4
-x**2 + exp(x) + cos(x)**2,3*x**4/8 + x**3/6 - 3*x**2/2 + x + 2
-2*x**2 + x*sin(x)/2 + 3*sinh(x),-x**4/12 + x**3/2 - 3*x**2/2 + 3*x
x*cos(x) + 2*sqrt(x + 1) - sin(2*x),-5*x**4/64 + 23*x**3/24 - x**2/4 + 2
x**3/2 - 3*x + tan(x)/3 + cosh(x)/3,x**4/72 + 11*x**3/18 + x**2/6 - 8*x/3 + 1/3
tanh(x)/3 - 3/(x + 1),-3*x**4 + 26*x**3/9 - 3*x**2 + 10*x/3 - 3
2*x*sin(x) + 2*sqrt(x + 1) - 3*tan(x),-79*x**4/192 - 7*x**3/8 + 7*x**2/4 - 2*x + 2
x**3/2 - 2*cos(x)**2,-2*x**4/3 + x**3/2 + 2*x**2 - 2
-3*x - 3*log(x + 1) + sin(x)**2/3 - 2*cos(x),5*x**4/9 - x**3 + 17*x**2/6 - 6*x - 2
x*sin(x)/3 + log(x + 1)/2 - 3*sin(2*x) + 2*cos(2*x),83*x**4/72 + 25*x**3/6 - 47*x**2/12 - 11*x/2 + 2
-2*sqrt(x + 1) + cos(2*x)/2 + 3*tanh(x),79*x**4/192 - 9*x**3/8 - 3*x**2/4 + 2*x - 3/2
tan(x)/3 - 2*sinh(x),-2*x**3/9 - 5*x/3
-x*cos(x) - 2*sin(x)**2 - 2*sinh(x),2*x**4/3 + x**3/6 - 2*x**2 - 3*x
x**3/3 + sqrt(x + 1)/2 + sin(x),-5*x**4/256 + 19*x**3/96 - x**2/16 + 5*x/4 + 1/2
exp(x)/2 + sin(2*x) - 3*cos(2*x),-95*x**4/48 - 5*x**3/4 + 25*x**2/4 + 5*x/2 - 5/2
x**3 + sin(x)**2/2,-x**4/6 + x**3 + x**2/2
x*sin(x)/3 + 2*x*cos(x) + cos(x),-x**4/72 - x**3 - x**2/6 + 2*x + 1
x**3 + x**2 + 3*cos(x)**2,x**4 + x**3 - 2*x**2 + 3
-sqrt(x + 1) + 2*exp(x) + cos(2*x)/2,175*x**4/384 + 13*x**3/48 + x**2/8 + 3*x/2 + 3/2
-2*x - 2*sinh(x) - 2*tanh(x),x**3/3 - 6*x
-3*sin(2*x) + 3*cos(2*x) + 3*tan(x),2*x**4 + 5*x**3 - 6*x**2 - 3*x + 3
-2*sin(2*x) + 2*sinh(x) + 1/(3*(x + 1)),x**4/3 + 8*x**3/3 + x**2/3 - 7*x/3 + 1/3
-2*x**3 - 2*x + 3*sin(x) - 3/(x + 1),-3*x**4 + x**3/2 - 3*x**2 + 4*x - 3
-3*sin(x)**2 + sin(2*x) - cos(x)**2 - 2*cos(2*x),-2*x**4/3 - 4*x**3/3 + 2*x**2 + 2*x - 3
-2*sin(x)**2 - 2*sinh(x) + 1/(2*(x + 1)),7*x**4/6 - 5*x**3/6 - 3*x**2/2 - 5*x/2 + 1/2
x**3/2 + exp(x)/2 + sin(x)**2 + 2*sinh(x),-5*x**4/16 + 11*x**3/12 + 5*x**2/4 + 5*x/2 + 1/2
x*cos(x)/3 - 3*x - 3*tanh(x) + exp(-x)/2,x**4/48 + 3*x**3/4 + x**2/4 - 37*x/6 + 1/2
-3*x**2 - 3*sqrt(x + 1) + sin(2*x),15*x**4/128 - 73*x**3/48 - 21*x**2/8 + x/2 - 3
-sin(x)**2 + tanh(x),x**4/3 - x**3/3 - x**2 + x
2*log(x + 1) - 3*sin(2*x) + 3*tanh(x),-x**4/2 + 11*x**3/3 - x**2 - x
x*sin(x) + 3*exp(x) - 2*tan(x) - cosh(x),-x**4/12 - x**3/6 + 2*x**2 + x + 2
-3*exp(x) + sin(x)/2 + tanh(x)/2,-x**4/8 - 3*x**3/4 - 3*x**2/2 - 2*x - 3
x**3/2 - 2*x - 3*log(x + 1) - 3*sin(x)**2,7*x**4/4 - x**3/2 - 3*x**2/2 - 5*x
2*x**3 - 3*log(x + 1) - exp(-x),17*x**4/24 + 7*x**3/6 + x**2 - 2*x - 1
x*cos(x)/2 - sin(x) + tan(x)/2,x**3/12
-x**2 + 3*sqrt(x + 1) - 2*log(x + 1),49*x**4/128 - 23*x**3/48 - 3*x**2/8 - x/2 + 3
3*sqrt(x + 1) + 3*sin(x)**2 + sin(2*x)/2 - tan(x),-143*x**4/128 - 13*x**3/16 + 21*x**2/8 + 3*x/2 + 3
-3*x**3 + 3*x + exp(-x)/2 - 2/(x + 1),-95*x**4/48 - 13*x**3/12 - 7*x**2/4 + 9*x/2 - 3/2
-x**3 - 1/(x + 1),-x**4 - x**2 + x - 1
-2*sin(x)**2 + sin(x) - 3/(x + 1),-7*x**4/3 + 17*x**3/6 - 5*x**2 + 4*x - 3
x**2 + cos(x)/2 + 3/(x + 1),145*x**4/48 - 3*x**3 + 15*x**2/4 - 3*x + 7/2
-sqrt(x + 1) - sin(x)**2 + 3*sin(x) - 3/(x + 1),-1009*x**4/384 + 39*x**3/16 - 31*x**2/8 + 11*x/2 - 4
x**3/3 - 3*x**2 + 3*tan(x) - sinh(x),7*x**3/6 - 3*x**2 + 2*x
2*sin(x)**2 + sin(x) - sin(2*x) - 2*tanh(x),-2*x**4/3 + 11*x**3/6 + 2*x**2 - 3*x
2*x**2 + sinh(x)/3 + tanh(x),-5*x**3/18 + 2*x**2 + 4*x/3
-3*x*sin(x) + 2*x*cos(x) - sinh(x),x**4/2 - 7*x**3/6 - 3*x**2 + x
x**3/3 + 3*x - sin(2*x),5*x**3/3 + x
-x*cos(x) + 3*sinh(x) - 2*tanh(x),5*x**3/3
x*sin(x)/2 + sin(x)**2/3 - 3*cos(x)**2,-43*x**4/36 + 23*x**2/6 - 3
cos(x)**2/2 + 2*tan(x),x**4/6 + 2*x**3/3 - x**2/2 + 2*x + 1/2
-2*log(x + 1) - 3*cos(x)**2,-x**4/2 - 2*x**3/3 + 4*x**2 - 2*x - 3
sin(x)**2/3 - 3*sin(2*x) + cosh(x)/2,-13*x**4/144 + 4*x**3 + 7*x**2/12 - 6*x + 1/2
-x**2 + 3*cos(2*x) - sinh(x) + exp(-x)/3,145*x**4/72 - 2*x**3/9 - 41*x**2/6 - 4*x/3 + 10/3
-3*sin(2*x) + cos(x)**2 - cosh(x),7*x**4/24 + 4*x**3 - 3*x**2/2 - 6*x
-3*x*sin(x) + sinh(x) + 2*cosh(x) - 2*exp(-x),x**4/2 + x**3/2 - 3*x**2 + 3*x
x**3/2 + sin(x)**2/2,-x**4/6 + x**3/2 + x**2/2
3*cos(2*x) + 3*tanh(x),2*x**4 - x**3 - 6*x**2 + 3*x + 3
x**3 + 2*exp(x) + exp(-x)/3 - 3/(x + 1),-209*x**4/72 + 77*x**3/18 - 11*x**2/6 + 14*x/3 - 2/3
3*x*cos(x) + log(x + 1) - 3*cos(x),-3*x**4/8 - 7*x**3/6 + x**2 + 4*x - 3
-3*x*cos(x) + 3*x - sqrt(x + 1) + 3*cosh(x),21*x**4/128 + 23*x**3/16 + 13*x**2/8 - x/2 + 2
-2*sin(2*x) + 3*cos(2*x) + 3*exp(-x),17*x**4/8 + 13*x**3/6 - 9*x**2/2 - 7*x + 6
exp(x) + log(x + 1)/3,-x**4/24 + 5*x**3/18 + x**2/3 + 4*x/3 + 1
2*x**3 + 3*sin(x) - 2*tanh(x),13*x**3/6 + x
-2*sqrt(x + 1) + 3*sin(x)**2 - tanh(x),-59*x**4/64 + 5*x**3/24 + 13*x**2/4 - 2*x - 2
3*x**2 + x/2 + exp(-x)/3,x**4/72 - x**3/18 + 19*x**2/6 + x/6 + 1/3
3*sin(2*x) + 3*exp(-x),x**4/8 - 9*x**3/2 + 3*x**2/2 + 3*x + 3
-x*cos(x) - 2*sin(x) + 3*sin(2*x),-19*x**3/6 + 3*x
sin(x)**2/2 - 3*cosh(x) - 1/(x + 1),-31*x**4/24 + x**3 - 2*x**2 + x - 4
x*sin(x) - 2*x - 2*sin(x)**2 - 2/(x + 1),-3*x**4/2 + 2*x**3 - 3*x**2 - 2
-3*x*sin(x) - sqrt(x + 1) - cos(x)**2,79*x**4/384 - x**3/16 - 15*x**2/8 - x/2 - 2
x**2/3 - 2*sin(x)**2 + cosh(x)/3,49*x**4/72 - 3*x**2/2 + 1/3
x*cos(x)/3 + sin(x)**2 + sin(x) + 3*tanh(x),-x**4/3 - 4*x**3/3 + x**2 + 13*x/3
x/3 + tan(x)/3 - exp(-x),-x**4/24 + 5*x**3/18 - x**2/2 + 5*x/3 - 1
-2*x**2 + x*cos(x)/3 - sin(x)**2 + tanh(x),x**4/3 - x**3/2 - 3*x**2 + 4*x/3
2*sin(x)**2 + 3*cos(x) + 3*tan(x),-13*x**4/24 + x**3 + x**2/2 + 3*x + 3
log(x + 1)/3 + 2*exp(-x),-2*x**3/9 + 5*x**2/6 - 5*x/3 + 2
2*sqrt(x + 1) + 2*exp(x) - sinh(x),x**4/192 + 7*x**3/24 + 3*x**2/4 + 2*x + 4
sin(x)**2 - 3*sin(2*x) + cos(x)**2/2,-x**4/6 + 4*x**3 + x**2/2 - 6*x + 1/2
2*x - cos(x)**2 - 3*cos(x) + 1/(x + 1),13*x**4/24 - x**3 + 7*x**2/2 + x - 3
-3*sin(x)**2 + cos(x)**2 + 3*exp(-x),35*x**4/24 - x**3/2 - 5*x**2/2 - 3*x + 4
sin(x)**2/2 - 3*sin(x) - cos(x),-5*x**4/24 + x**3/2 + x**2 - 3*x - 1
3*log(x + 1) - 2*sin(x) - 3*tan(x),-3*x**4/4 + x**3/3 - 3*x**2/2 - 2*x
-2*sin(x) + sin(2*x)/3,-x**3/9 - 4*x/3
-3*x*sin(x) + 2*sin(x)**2 + 2*cos(x),-x**4/12 - 2*x**2 + 2
-2*x*cos(x) + tan(x)/2 + cosh(x) + 3/(x + 1),73*x**4/24 - 11*x**3/6 + 7*x**2/2 - 9*x/2 + 4
sqrt(x + 1) - 2*sin(x)**2 + 2*cosh(x),91*x**4/128 + x**3/16 - 9*x**2/8 + x/2 + 3
x*cos(x)/3 + 2*sin(x) + cos(2*x)/2,x**4/3 - x**3/2 - x**2 + 7*x/3 + 1/2
-2*cos(x) + tanh(x) - exp(-x),-x**4/8 - x**3/6 + x**2/2 + 2*x - 3
sin(x)/3 + 2*cos(2*x) + tan(x),4*x**4/3 + 5*x**3/18 - 4*x**2 + 4*x/3 + 2
-sqrt(x + 1) + 3*exp(x) + 3*cos(x)**2,149*x**4/128 + 7*x**3/16 - 11*x**2/8 + 5*x/2 + 5
cosh(x)/2 + 3*exp(-x),7*x**4/48 - x**3/2 + 7*x**2/4 - 3*x + 7/2
x*sin(x)/3 + cos(x)**2/2 + 1/(x + 1),10*x**4/9 - x**3 + 5*x**2/6 - x + 3/2
3*x*sin(x) + tan(x) - 3*cosh(x),-5*x**4/8 + x**3/3 + 3*x**2/2 + x - 3
sin(x)**2/3 + sin(x),-x**4/9 - x**3/6 + x**2/3 + x
3*exp(x) - 2*cos(x) - 3*sinh(x),x**4/24 + 5*x**2/2 + 1
3*x*sin(x) - log(x + 1) + cos(x)**2/3,-5*x**4/36 - x**3/3 + 19*x**2/6 - x + 1/3
x*sin(x) - x*cos(x) + sin(x)/3,-x**4/6 + 4*x**3/9 + x**2 - 2*x/3
-2*x - log(x + 1) - 2*sin(x) + cos(x),7*x**4/24 - 5*x + 1
-sin(x)**2 - sin(x) - cos(2*x),-x**4/3 + x**3/6 + x**2 - x - 1
-2*x**2 + sin(x)**2/3 + cos(x)**2/3,1/3 - 2*x**2
-3*exp(x) - 3*cos(2*x) + 3*tanh(x),-17*x**4/8 - 3*x**3/2 + 9*x**2/2 - 6
x + 3*exp(x) + sin(x) + cos(x)**2/2,7*x**4/24 + x**3/3 + x**2 + 5*x + 7/2
-2*cos(x)**2 - 3*cos(2*x) + tan(x)/2,-8*x**4/3 + x**3/6 + 8*x**2 + x/2 - 5
x**2/3 - 2*sqrt(x + 1) + log(x + 1)/2 - 3*tan(x),-3*x**4/64 - 23*x**3/24 + x**2/3 - 7*x/2 - 2
3*log(x + 1) - 3*sin(2*x) + cos(2*x)/3,-19*x**4/36 + 5*x**3 - 13*x**2/6 - 3*x + 1/3
sin(2*x)/3 - 2*tan(x),-10*x**3/9 - 4*x/3
2*log(x + 1) - 3*sin(x) + cos(x)**2 + sinh(x),-x**4/6 + 4*x**3/3 - 2*x**2 + 1
2*exp(x) - cosh(x) + 3/(x + 1),73*x**4/24 - 8*x**3/3 + 7*x**2/2 - x + 4
-3*sin(x) + 3*cos(x)**2 + 3*tan(x),x**4 + 3*x**3/2 - 3*x**2 + 3
-3*sin(x) - 3*exp(-x),-x**4/8 + x**3 - 3*x**2/2 - 3
x*cos(x)/2 - log(x + 1) - 3*sin(x)**2 + 3*cos(2*x),13*x**4/4 - 7*x**3/12 - 17*x**2/2 - x/2 + 3
2*x**2 - x*cos(x) + 2*sin(x)**2 + cosh(x)/2,-31*x**4/48 + x**3/2 + 17*x**2/4 - x + 1/2
-3*x*sin(x) + log(x + 1)/3 + 2*tanh(x),5*x**4/12 - 5*x**3/9 - 19*x**2/6 + 7*x/3
x**2/3 + x*cos(x)/3 + 1/(x + 1),x**4 - 7*x**3/6 + 4*x**2/3 - 2*x/3 + 1
-3*x + exp(x) + 3/(x + 1),73*x**4/24 - 17*x**3/6 + 7*x**2/2 - 5*x + 4
3*x*cos(x) + sin(2*x)/2 + 3/(x + 1),3*x**4 - 31*x**3/6 + 3*x**2 + x + 3
-3*cos(x) + sinh(x)/3,-x**4/8 + x**3/18 + 3*x**2/2 + x/3 - 3
x**2/2 + 2*log(x + 1) - 3*tanh(x),-x**4/2 + 5*x**3/3 - x**2/2 - x
3*exp(x) + cos(x)**2/2 + 3*cos(2*x),55*x**4/24 + x**3/2 - 5*x**2 + 3*x + 13/2
x/3 - 2*cos(x)**2 + 1/(2*(x + 1)),-x**4/6 - x**3/2 + 5*x**2/2 - x/6 - 3/2
-sqrt(x + 1) - sin(x)**2 + cos(2*x)/2,271*x**4/384 - x**3/16 - 15*x**2/8 - x/2 - 1/2
-sin(x)**2 + tan(x) - 2/(x + 1),-5*x**4/3 + 7*x**3/3 - 3*x**2 + 3*x - 2
x*sin(x) - 2*x*cos(x) - 2*sin(x),-x**4/6 + 4*x**3/3 + x**2 - 4*x
2*log(x + 1) - 3*sin(x) + sinh(x) - 3*tanh(x),-x**4/2 + 7*x**3/3 - x**2 - 3*x
3*log(x + 1) + sinh(x)/3 + 2*exp(-x) - 1/(x + 1),-5*x**4/3 + 31*x**3/18 - 3*x**2/2 + 7*x/3 + 1
x*cos(x)/2 + 3*tanh(x),-5*x**3/4 + 7*x/2
x**3/3 + sin(2*x)/2 + cosh(x) + tanh(x),x**4/24 - 2*x**3/3 + x**2/2 + 2*x + 1
2*x*cos(x) + 2*sqrt(x + 1) + 2*log(x + 1) - 3*cos(x),-45*x**4/64 - 5*x**3/24 + x**2/4 + 5*x - 1
-x**3 + 3*log(x + 1) + cos(x)**2/2,-7*x**4/12 - 2*x**2 + 3*x + 1/2
3*x*sin(x) + sin(2*x)/3 + 3*cos(x)**2,x**4/2 - 4*x**3/9 + 2*x/3 + 3
cos(x)**2/3 + exp(-x),11*x**4/72 - x**3/6 + x**2/6 - x + 4/3
-2*x**3 - sin(x)**2 - 3*sin(x) + exp(-x),3*x**4/8 - 5*x**3/3 - x**2/2 - 4*x + 1
-x*sin(x) - x - 2*exp(x) + 1/(2*(x + 1)),7*x**4/12 - 5*x**3/6 - 3*x**2/2 - 7*x/2 - 3/2
-2*x*cos(x) + sin(2*x)/3 - 2*cos(2*x) - 1/(x + 1),-7*x**4/3 + 14*x**3/9 + 3*x**2 - x/3 - 3
2*x*sin(x) + exp(-x) + 1/(3*(x + 1)),x**4/24 - x**3/2 + 17*x**2/6 - 4*x/3 + 4/3
-2*x**3 + x*sin(x)/3 - 3*log(x + 1) + 2*tan(x),25*x**4/36 - 7*x**3/3 + 11*x**2/6 - x
2*x*sin(x) + exp(x) + cos(x)**2/3 - 3*cos(2*x),-157*x**4/72 + x**3/6 + 49*x**2/6 + x - 5/3
x**2 + 2*sin(x)**2 + exp(-x)/2,-31*x**4/48 - x**3/12 + 13*x**2/4 - x/2 + 1/2
x/2 - 3*log(x + 1) - 2*sin(2*x) - 3*sinh(x),3*x**4/4 + 7*x**3/6 + 3*x**2/2 - 19*x/2
2*exp(x) + tan(x)/3 - 3*exp(-x),-x**4/24 + 17*x**3/18 - x**2/2 + 16*x/3 - 1
-3*sin(x) - 3*tanh(x) + exp(-x)/3,x**4/72 + 13*x**3/9 + x**2/6 - 19*x/3 + 1/3
3*log(x + 1) + cosh(x) - 3/(x + 1),-89*x**4/24 + 4*x**3 - 4*x**2 + 6*x - 2
-x*sin(x) - exp(x),x**4/8 - x**3/6 - 3*x**2/2 - x - 1
-3*x - sin(x)**2 - 3*sin(x) + 2*cos(x)**2,x**4 + x**3/2 - 3*x**2 - 6*x + 2
3*x + 3*cos(x) - 2*sinh(x),x**4/8 - x**3/3 - 3*x**2/2 + x + 3
x*cos(x)/3 + log(x + 1) + 3*tanh(x),-x**4/4 - 5*x**3/6 - x**2/2 + 13*x/3
sqrt(x + 1) + cos(x)**2,113*x**4/384 + x**3/16 - 9*x**2/8 + x/2 + 2
-3*x*sin(x) - 2*sqrt(x + 1) + 3*sin(2*x),37*x**4/64 - 33*x**3/8 - 11*x**2/4 + 5*x - 2
x**3/2 + cos(x)/2 + cosh(x)/2,x**4/24 + x**3/2 + 1
-2*tan(x) + 2/(x + 1),2*x**4 - 8*x**3/3 + 2*x**2 - 4*x + 2
-3*x**2 + 2*x*sin(x) + x + log(x + 1),-7*x**4/12 + x**3/3 - 3*x**2/2 + 2*x
3*cos(x)**2 + cos(x)/2 + 2*sinh(x),49*x**4/48 + x**3/3 - 13*x**2/4 + 2*x + 7/2
x**3 + sin(x)/3 + 3*tan(x),35*x**3/18 + 10*x/3
sin(x)**2/2 + cosh(x)/2 + 3*tanh(x) + 3*exp(-x),-x**4/48 - 3*x**3/2 + 9*x**2/4 + 7/2
-3*x**2 - 2*x*sin(x) + 2*tan(x) + sinh(x)/3,x**4/3 + 13*x**3/18 - 5*x**2 + 7*x/3
x*sin(x)/3 - 2*log(x + 1) - 2*sin(x) - 3*exp(-x),23*x**4/72 + x**3/6 - x**2/6 - x - 3
-x**3 + x**2 + 2*x + 2*sinh(x),-2*x**3/3 + x**2 + 4*x
-2*x*sin(x) + cos(2*x) - tanh(x) + exp(-x),25*x**4/24 + x**3/6 - 7*x**2/2 - 2*x + 2
x**2 + 2*cos(2*x) + exp(-x),11*x**4/8 - x**3/6 - 5*x**2/2 - x + 3
x**3/3 - 3*x**2 - 2*sin(2*x),3*x**3 - 3*x**2 - 4*x
3*log(x + 1) + sin(x)**2/3,-31*x**4/36 + x**3 - 7*x**2/6 + 3*x
-3*x**3 + 2*x*cos(x) - exp(x),-x**4/24 - 25*x**3/6 - x**2/2 + x - 1
x*sin(x)/3 + 3*sqrt(x + 1) - 3*tanh(x) + 1/(x + 1),953*x**4/1152 + 3*x**3/16 + 23*x**2/24 - 5*x/2 + 4
exp(x)/3 + sin(x)**2 - 2*cos(2*x),-119*x**4/72 + x**3/18 + 31*x**2/6 + x/3 - 5/3
2*cos(2*x) - 3*sinh(x),4*x**4/3 - x**3/2 - 4*x**2 - 3*x + 2
3*sin(x)**2 - 2*cos(2*x) + sinh(x)/2,-7*x**4/3 + x**3/12 + 7*x**2 + x/2 - 2
x*sin(x)/2 - cos(x)**2 + cosh(x),-3*x**4/8 + 2*x**2
-x*cos(x) + 2*sin(x) + 2*cos(2*x),4*x**4/3 + x**3/6 - 4*x**2 + x + 2
-x**3 + x*sin(x) - tan(x) + 2*sinh(x),-x**4/6 - x**3 + x**2 + x
x**3/3 + 2*sqrt(x + 1) - log(x + 1) + 3/(x + 1),203*x**4/64 - 23*x**3/8 + 13*x**2/4 - 3*x + 5
3*x**3 + 3*x*sin(x) - tan(x),-x**4/2 + 8*x**3/3 + 3*x**2 - x
-3*x*cos(x) + cos(2*x)/3,2*x**4/9 + 3*x**3/2 - 2*x**2/3 - 3*x + 1/3
x*sin(x) + sin(x)**2/3 + cos(2*x) + tanh(x)/2,7*x**4/18 - x**3/6 - 2*x**2/3 + x/2 + 1
2*x + sinh(x)/3 + 1/(2*(x + 1)),x**4/2 - 4*x**3/9 + x**2/2 + 11*x/6 + 1/2
exp(x) + sin(2*x)/3 + cos(2*x)/3,19*x**4/72 - 5*x**3/18 - x**2/6 + 5*x/3 + 4/3
x**3/2 + 3*cos(x) - tanh(x),x**4/8 + 5*x**3/6 - 3*x**2/2 - x + 3
-3*x**3 - 3*x - cos(x) + exp(-x)/3,-x**4/36 - 55*x**3/18 + 2*x**2/3 - 10*x/3 - 2/3
x**2/2 - 3*sqrt(x + 1) + exp(-x),61*x**4/384 - 17*x**3/48 + 11*x**2/8 - 5*x/2 - 2
sin(x) - 3*cosh(x),-x**4/8 - x**3/6 - 3*x**2/2 + x - 3
-2*x**3 - sin(x) + tan(x)/2,-5*x**3/3 - x/2
sqrt(x + 1) - sin(x),-5*x**4/128 + 11*x**3/48 - x**2/8 - x/2 + 1
-2*x + 2*log(x + 1) + cos(x)**2,-x**4/6 + 2*x**3/3 - 2*x**2 + 1
tan(x)/2 - 3*cosh(x),-x**4/8 + x**3/6 - 3*x**2/2 + x/2 - 3
-x + 2*tan(x) + 1/(3*(x + 1)),x**4/3 + x**3/3 + x**2/3 + 2*x/3 + 1/3
2*x*sin(x) + 3*cosh(x) + 2*exp(-x),-x**4/8 - x**3/3 + 9*x**2/2 - 2*x + 5
x/2 + tanh(x)/3 - 2*exp(-x),-x**4/12 + 2*x**3/9 - x**2 + 17*x/6 - 2
